"Platform","Disaster","Unbearable","Painful","Awful","Bad","Mediocre","Okay","Good","Great","Amazing","Masterpiece"
"PlayStation Vita",0,0,0,5,9,12,20,36,40,33,0
"iPad",0,0,0,0,2,6,14,25,34,18,0
"Xbox 360",0,2,23,44,113,172,256,375,445,196,5
"PlayStation 3",0,1,18,35,87,130,196,320,379,181,9
"Macintosh",0,0,0,0,1,3,9,15,23,29,1
"PC",0,15,47,90,179,321,526,868,967,351,5
"iPhone",0,1,8,10,26,64,125,287,244,76,1
"Nintendo DS",0,7,25,61,131,152,209,253,170,37,0
"Nintendo 3DS",0,0,2,4,8,24,30,61,65,31,0
"Android",0,0,0,0,0,3,4,13,16,3,0
"Wii",0,17,56,75,146,199,218,333,256,61,4
"PlayStation 4",0,1,2,4,7,19,36,65,83,55,5
"Wii U",0,0,0,3,6,11,12,29,28,25,0
"Linux",0,0,0,0,0,2,1,2,2,3,0
"PlayStation Portable",0,0,16,14,41,82,138,195,109,38,0
"PlayStation",0,9,30,54,87,97,146,216,226,87,0
"Nintendo 64",0,1,4,15,24,35,46,67,73,36,1
"Saturn",0,0,0,0,0,1,1,1,2,1,0
"Lynx",0,0,0,1,3,10,10,23,20,12,3
"Game Boy",0,0,0,0,1,0,2,6,7,3,3
"Game Boy Color",0,0,16,30,34,50,48,68,67,33,10
"NeoGeo Pocket Color",0,0,0,1,5,1,0,7,5,10,2
"Game.Com",0,0,0,1,0,0,1,1,0,0,0
"Dreamcast",0,1,10,10,15,16,40,46,90,57,1
"Dreamcast VMU",0,0,0,1,0,0,0,0,0,0,0
"WonderSwan",0,0,0,0,0,1,1,1,1,0,0
"Arcade",0,0,0,2,2,0,3,1,2,1,0
"Nintendo 64DD",0,0,1,0,0,0,2,2,2,0,0
"PlayStation 2",0,5,40,71,132,180,272,444,404,138,0
"WonderSwan Color",0,0,0,0,0,0,0,0,1,0,0
"Game Boy Advance",0,2,13,30,53,83,114,131,145,52,0
"Xbox",0,4,9,32,49,66,128,179,262,92,0
"GameCube",0,0,5,20,30,62,90,113,144,45,0
"DVD / HD Video Game",0,1,0,0,0,0,0,0,0,0,0
"Wireless",0,2,8,18,29,71,134,339,261,46,1
"Pocket PC",0,0,0,0,0,0,0,0,1,0,0
"N-Gage",0,0,1,3,0,3,4,9,10,0,0
"NES",0,0,1,3,5,5,8,11,11,5,0
"iPod",0,0,0,1,0,2,2,8,3,1,0
"Genesis",0,0,0,4,4,8,11,17,11,3,0
"TurboGrafx-16",0,1,0,3,2,2,9,13,10,0,0
"Super NES",0,0,0,0,1,0,1,14,15,2,0
"NeoGeo",0,0,0,1,1,1,2,2,3,0,0
"Master System",0,0,0,0,1,3,2,2,4,1,0
"Atari 5200",0,0,0,0,0,0,0,0,2,0,0
"TurboGrafx-CD",0,0,0,0,0,0,0,1,2,0,0
"Atari 2600",0,0,0,1,1,0,0,3,0,0,0
"Sega 32X",0,1,0,2,2,3,3,3,2,0,0
"Vectrex",0,0,0,0,0,1,0,1,0,0,0
"Commodore 64/128",0,0,0,0,1,0,2,3,0,0,0
"Sega CD",0,0,0,0,0,0,0,1,0,0,0
"Nintendo DSi",0,1,3,15,24,40,34,77,53,7,0
"Windows Phone",0,0,0,0,0,3,4,4,3,0,0
"Web Games",0,0,0,0,0,0,0,0,1,0,0
"Xbox One",0,0,2,0,7,15,29,50,66,35,4
"Windows Surface",0,0,0,0,0,0,1,0,0,0,0
"Ouya",0,0,0,0,0,0,0,0,1,0,0
"New Nintendo 3DS",0,0,0,0,0,0,1,0,1,0,0
"SteamOS",0,0,0,0,0,0,0,0,1,0,0
